sector,ticker
Unknown,WBA
Consumer Cyclical,KSS
Consumer Cyclical,M
Unknown,JWN
Unknown,GPS
Unknown,FL
Unknown,HIBB
Unknown,BIG
Consumer Cyclical,CONN
Unknown,PRTY
Unknown,LL
Unknown,OSTK
Communication Services,GRPN
Consumer Cyclical,CTRN
Unknown,EXPR
Consumer Cyclical,TLYS
Consumer Cyclical,ZUMZ
Consumer Cyclical,BNED
Technology,PLTR
Technology,U
Technology,ASAN
Unknown,ZI
Unknown,SPLK
Unknown,NEWR
Technology,DOMO
Technology,YEXT
Unknown,PING
Unknown,BIGC
Communication Services,MGNI
Technology,PUBM
Technology,FROG
Technology,CRUS
Technology,SLAB
Technology,DIOD
Technology,POWI
Technology,SITM
Technology,RMBS
Technology,ACLS
Technology,ONTO
Technology,KLIC
Technology,CEVA
Technology,SYNA
Technology,VIAV
Technology,GILT
Communication Services,IRDM
Unknown,SWIR
Technology,LSCC
Unknown,MXIM
Technology,MTSI
Consumer Cyclical,NIO
Consumer Cyclical,XPEV
Unknown,FSR
Industrials,NKLA
Consumer Cyclical,GOEV
Consumer Cyclical,WKHS
Industrials,PLUG
Industrials,BLDP
Industrials,BE
Unknown,NOVA
Technology,RUN
Technology,ARRY
Technology,SHLS
Utilities,STEM
Consumer Cyclical,QS
Consumer Cyclical,CHPT
Industrials,BLNK
Energy,CLNE
Basic Materials,GEVO
Industrials,FCEL
Technology,SPWR
Unknown,BLUE
Healthcare,SGMO
Healthcare,SRPT
Healthcare,EXEL
Healthcare,UTHR
Healthcare,PACB
Healthcare,TWST
Healthcare,CDNA
Healthcare,VEEV
Healthcare,DOCS
Healthcare,GDRX
Unknown,HZNP
Healthcare,ALKS
Healthcare,SUPN
Healthcare,PCRX
Healthcare,TGTX
Healthcare,RCKT
Healthcare,VCEL
Unknown,AXNX
Healthcare,PRGO
Healthcare,PAHC
Healthcare,PETS
Consumer Cyclical,WOOF
Unknown,SQ
Financial Services,LMND
Financial Services,RKT
Financial Services,UWMC
Financial Services,TREE
Financial Services,LPRO
Financial Services,GSHD
Financial Services,KNSL
Real Estate,STWD
Real Estate,LADR
Real Estate,NLY
Real Estate,AGNC
Real Estate,TWO
Real Estate,MFA
Real Estate,PMT
Unknown,NYMT
Unknown,NRZ
Real Estate,RITM
Financial Services,ARCC
Financial Services,MAIN
Financial Services,HTGC
Financial Services,GBDC
Financial Services,TCPC
Financial Services,PSEC
Unknown,ORCC
Financial Services,TPVG
Financial Services,NEWT
Communication Services,SPOT
Communication Services,FVRR
Communication Services,UPWK
Consumer Defensive,COUR
Technology,DUOL
Consumer Defensive,UDMY
Consumer Defensive,TWOU
Consumer Defensive,STRA
Consumer Defensive,LRN
Consumer Defensive,PRDO
Consumer Cyclical,BFAM
Consumer Defensive,LINC
Financial Services,HLI
Consumer Defensive,BYND
Consumer Defensive,OTLY
Consumer Defensive,CELH
Consumer Cyclical,BROS
Consumer Cyclical,SHAK
Communication Services,PLAY
Consumer Cyclical,BJRI
Consumer Cyclical,DENN
Consumer Cyclical,EAT
Consumer Cyclical,BLMN
Consumer Cyclical,LOCO
Financial Services,TACO
Consumer Cyclical,CAVA
Consumer Cyclical,PTLO
Unknown,RUTH
Industrials,JOBY
Industrials,ACHR
Industrials,SPCE
Industrials,RKLB
Industrials,ASTR
Industrials,BKSY
Industrials,TTC
Industrials,GTES
Technology,DDD
Technology,NNDM
Industrials,PRLB
Real Estate,ADC
Real Estate,EPRT
Real Estate,NTST
Real Estate,PINE
Real Estate,PLYM
Real Estate,IIPR
Unknown,SRC
Unknown,STOR
Real Estate,RWT
Unknown,STAR
Unknown,MTTR
Consumer Cyclical,LAZR
Technology,OUST
Technology,BBAI
Technology,FOUR
Unknown,DTC
Financial Services,NU
Technology,PAGS
Consumer Cyclical,CPNG
Unknown,WISH
Unknown,POSH
Communication Services,FUBO
Communication Services,SKLZ
Consumer Cyclical,BARK
Consumer Defensive,SMPL
Consumer Defensive,HAIN
Consumer Defensive,UNFI
Consumer Defensive,SFM
Unknown,SPTN
Consumer Defensive,ACI
Consumer Defensive,IMKTA
Consumer Defensive,NGVC
Consumer Defensive,VLGEA
Consumer Defensive,WMK
Consumer Defensive,CHEF
Consumer Defensive,LANC
Consumer Defensive,JJSF
Consumer Defensive,THS
Consumer Defensive,POST
Unknown,LNDC
Consumer Defensive,CALM
